Atualizado em: 2025-01-27
"Aeroporto_Origem_Designador_OACI";"Aeroporto_Origem_Nome_UF_Pais ";"Aeroporto_Destino_Designador_OACI";"Aeroporto_Destino_Nome_UF_Pais";"Etapas_Previstas";"Percentuais_de_Cancelamentos";"Percentuais_de_Atrasos_superiores_a_30_minutos";"Percentuais_de_Atrasos_superiores_a_60_minutos"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"131";"0,76";"17,69";"6,15"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"247";"0";"8,5";"1,62"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"216";"0,93";"5,61";"2,34"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"236";"5,08";"8,93";"2,68"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"2";"0";"0";"0"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"62";"0";"19,35";"8,06"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"31";"0";"19,35";"3,23"
"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"50";"18";"7,32";"2,44"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"89";"0";"4,49";"2,25"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"127";"11,02";"15,93";"5,31"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"53";"1,89";"13,46";"9,62"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"38";"2,63";"5,41";"0"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"206";"1,94";"8,42";"3,47"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"3";"0";"0";"0"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"129";"6,2";"9,92";"4,13"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"15";"6,67";"0";"0"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBPJ";"BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL)";"30";"6,67";"7,14";"3,57"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"12";"0";"8,33";"8,33"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"79";"0";"13,92";"6,33"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"308";"1,95";"13,91";"5,96"
"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"51";"0";"13,73";"3,92"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"CYUL";"MONTRÉAL-PIERRE ELLIOTT TRUDEAU INTERNATIONAL AIRPORT(CANADÁ)";"30";"0";"30";"30"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"CYYZ";"TORONTO PEARSON INTERNATIONAL AIRPORT(CANADÁ)";"30";"6,67";"21,43";"21,43"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"EDDF";"FRANKFURT INTERNATIONAL AIRPORT(ALEMANHA)";"61";"0";"36,07";"11,48"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"EDDM";"MUNICH INTERNATIONAL AIRPORT (FRANZ JOSEF STRAUß INTERNATIONAL AIRPORT)(ALEMANHA)";"10";"0";"20";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"EGLL";"LONDON HEATHROW AIRPORT(REINO UNIDO)";"75";"21,33";"28,81";"6,78"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"EHAM";"AMSTERDAM AIRPORT SCHIPHOL(HOLANDA)";"31";"0";"38,71";"9,68"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"FACT";"CAPE TOWN INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"8";"25";"16,67";"16,67"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"FAOR";"OR TAMBO INTERNATIONAL AIRPORT(ÁFRICA DO SUL)";"26";"3,85";"40";"24"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"FNLU";"QUATRO DE FEVEREIRO AIRPORT(ANGOLA)";"25";"28";"11,11";"5,56"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"HAAB";"BOLE INTERNATIONAL AIRPORT(ETIÓPIA)";"31";"0";"12,9";"6,45"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KATL";"HARTSFIELD JACKSON ATLANTA INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"62";"0";"9,68";"6,45"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KBOS";"LOGAN INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"13";"0";"30,77";"15,38"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KDFW";"DALLAS-FORT WORTH INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"31";"0";"25,81";"16,13"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KEWR";"NEWARK LIBERTY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"32";"9,38";"20,69";"10,34"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KIAD";"WASHINGTON DULLES INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"31";"0";"6,45";"3,23"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KIAH";"GEORGE BUSH INTERCONTINENTAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"31";"0";"19,35";"6,45"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KJFK";"JOHN F. KENNEDY INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"93";"0";"19,35";"11,83"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KLAX";"LOS ANGELES INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"18";"0";"16,67";"5,56"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KMCO";"ORLANDO INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"32";"3,13";"6,45";"6,45"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KMIA";"MIAMI INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"152";"8,55";"30,94";"7,91"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"KORD";"O´HARE INTERNATIONAL AIRPORT(ESTADOS UNIDOS DA AMÉRICA)";"31";"0";"12,9";"3,23"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LEBL";"BARCELONA-EL PRAT AIRPORT(ESPANHA)";"18";"0";"0";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LEMD";"ADOLFO SUÁREZ MADRID-BARAJAS AIRPORT(ESPANHA)";"145";"2,07";"5,63";"2,82"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LFPG";"PARIS-CHARLES DE GAULLE AIRPORT (ROISSY AIRPORT)(FRANÇA)";"92";"1,09";"12,09";"8,79"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LIMC";"MALPENSA INTERNATIONAL AIRPORT(ITÁLIA)";"27";"0";"11,11";"7,41"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LIRF";"LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT)(ITÁLIA)";"81";"3,7";"6,41";"5,13"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LPPR";"PORTO(PORTUGAL)";"13";"7,69";"16,67";"8,33"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LPPT";"LISBOA(PORTUGAL)";"137";"0,73";"11,76";"1,47"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LSZH";"ZÜRICH AIRPORT (KLOTEN AIRPORT)(SUÍÇA)";"31";"0";"6,45";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"LTFM";"ISTANBUL AIRPORT(TURQUIA)";"49";"2,04";"37,5";"12,5"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"MDPC";"PUNTA CANA(REPÚBLICA DOMINICANA)";"49";"0";"10,2";"6,12"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"MMMX";"BENITO JUAREZ INTL(MÉXICO)";"62";"3,23";"20";"8,33"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"MPTO";"TOCUMEN INTL(PANAMÁ)";"168";"0";"1,79";"1,19"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"MROC";"SAN JOSE/JUAN SANTAMARIA(COSTA RICA)";"13";"0";"7,69";"7,69"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"OMDB";"DUBAI(EMIRADOS ÁRABES UNIDOS)";"31";"0";"6,45";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"OTHH";"HAMAD INTERNATIONAL AIRPORT(QATAR)";"62";"1,61";"1,64";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SABE";"JORGE NEWBERY AIRPORT(ARGENTINA)";"380";"1,58";"10,16";"3,21"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SAEZ";"MINISTRO PISTARINI INTERNATIONAL AIRPORT (EZEIZA INTERNATIONAL AIRPORT)(ARGENTINA)";"159";"0,63";"27,85";"8,86"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SAME";"GOVERNOR FRANCISCO GABRIELLI INTERNATIONAL AIRPORT (EL PLUMERILLO INT´L)(ARGENTINA)";"35";"0";"22,86";"5,71"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SASA";"MARTÍN MIGUEL DE GÜEMES INTERNATIONAL AIRPORT (EL AYBAL AIRPORT)(ARGENTINA)";"5";"20";"0";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBAR";"SANTA MARIA(SE, BRASIL)";"184";"1,63";"14,36";"2,76"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBAX";"ROMEU ZEMA(MG, BRASIL)";"9";"0";"22,22";"22,22"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"241";"0,41";"17,5";"5"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBBR";"PRESIDENTE JUSCELINO KUBITSCHEK(DF, BRASIL)";"324";"0,31";"21,36";"8,05"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBCA";"ADALBERTO MENDES DA SILVA(PR, BRASIL)";"70";"2,86";"11,76";"5,88"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"423";"3,07";"18,54";"6,34"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBCG";"CAMPO GRANDE(MS, BRASIL)";"193";"0,52";"13,54";"4,69"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBCH";"SERAFIN ENOSS BERTASO(SC, BRASIL)";"61";"0";"9,84";"4,92"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBCT";"AFONSO PENA(PR, BRASIL)";"397";"2,52";"19,38";"4,13"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBCX";"REGIONAL HUGO CANTERGIANI(RS, BRASIL)";"30";"0";"20";"10"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBCY";"MARECHAL RONDON(MT, BRASIL)";"300";"0";"10,33";"2"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBDN";"PRESIDENTE PRUDENTE(SP, BRASIL)";"26";"3,85";"8";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"181";"0";"9,94";"3,31"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBFI";"CATARATAS(PR, BRASIL)";"211";"1,9";"13,53";"5,8"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBFL";"HERCÍLIO LUZ(SC, BRASIL)";"260";"1,54";"16,02";"4,3"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBFZ";"PINTO MARTINS(CE, BRASIL)";"309";"0,32";"13,64";"4,22"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBGL";"AEROPORTO INTERNACIONAL DO RIO DE JANEIRO (GALEÃO) - ANTONIO CARLOS JOBIM(RJ, BRASIL)";"379";"0,79";"12,77";"4,26"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBGO";"SANTA GENOVEVA/GOIÂNIA(GO, BRASIL)";"206";"2,43";"16,42";"4,48"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBIL";"BAHIA - JORGE AMADO(BA, BRASIL)";"100";"0";"10";"5"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBIZ";"PREFEITO RENATO MOREIRA(MA, BRASIL)";"44";"4,55";"23,81";"4,76"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBJA";"REGIONAL SUL(SC, BRASIL)";"31";"0";"12,9";"9,68"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBJE";"JERICOACORA(CE, BRASIL)";"79";"0";"10,13";"3,8"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBJP";"PRESIDENTE CASTRO PINTO(PB, BRASIL)";"161";"0";"11,8";"4,35"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBJU";"ORLANDO BEZERRA DE MENEZES(CE, BRASIL)";"90";"1,11";"15,73";"6,74"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBJV";"LAURO CARNEIRO DE LOYOLA(SC, BRASIL)";"58";"3,45";"32,14";"14,29"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBLO";"GOVERNADOR JOSÉ RICHA(PR, BRASIL)";"89";"4,49";"20";"4,71"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBMG";"SÍLVIO NAME JÚNIOR(PR, BRASIL)";"90";"4,44";"15,12";"3,49"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBMK";"MÁRIO RIBEIRO(MG, BRASIL)";"31";"0";"9,68";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBMO";"ZUMBI DOS PALMARES(AL, BRASIL)";"262";"1,15";"6,95";"1,54"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBMQ";"ALBERTO ALCOLUMBRE(AP, BRASIL)";"18";"0";"5,56";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBNF";"MINISTRO VICTOR KONDER(SC, BRASIL)";"186";"2,15";"12,09";"1,65"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBNM";"SANTO ÂNGELO(RS, BRASIL)";"13";"0";"0";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBPA";"SALGADO FILHO(RS, BRASIL)";"397";"0,76";"13,45";"5,33"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBPF";"LAURO KURTZ(RS, BRASIL)";"52";"1,92";"1,96";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBPJ";"BRIGADEIRO LYSIAS RODRIGUES(TO, BRASIL)";"94";"0";"13,83";"3,19"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBPK";"PELOTAS(RS, BRASIL)";"13";"0";"0";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBPL";"SENADOR NILO COELHO(PE, BRASIL)";"101";"0";"9,9";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBPS";"PORTO SEGURO(BA, BRASIL)";"184";"4,89";"15,43";"1,14"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBPV";"GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA(RO, BRASIL)";"37";"0";"27,03";"8,11"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBRF";"GUARARAPES - GILBERTO FREYRE(PE, BRASIL)";"520";"1,15";"10,51";"3,5"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBRJ";"SANTOS DUMONT(RJ, BRASIL)";"121";"3,31";"14,53";"5,13"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBRP";"LEITE LOPES(SP, BRASIL)";"58";"5,17";"3,64";"1,82"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBSG";"GOVERNADOR ALUIZIO ALVES(RN, BRASIL)";"233";"0";"9,01";"2,15"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBSI";"PRESIDENTE JOÃO BATISTA FIGUEIREDO(MT, BRASIL)";"61";"1,64";"3,33";"3,33"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBSL";"MARECHAL CUNHA MACHADO(MA, BRASIL)";"124";"0,81";"18,7";"5,69"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBSR";"PROFESSOR ERIBERTO MANOEL REINO(SP, BRASIL)";"56";"1,79";"18,18";"7,27"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBSV";"DEPUTADO LUÍS EDUARDO MAGALHÃES(BA, BRASIL)";"306";"0,98";"14,19";"5,28"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBTE";"SENADOR PETRÔNIO PORTELLA(PI, BRASIL)";"91";"2,2";"21,35";"7,87"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBUL";"TEN CEL AVIADOR CÉSAR BOMBONATO(MG, BRASIL)";"87";"1,15";"16,28";"6,98"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBVC";"GLAUBER DE ANDRADE ROCHA(BA, BRASIL)";"76";"1,32";"12";"4"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBVT";"EURICO DE AGUIAR SALLES(ES, BRASIL)";"239";"3,35";"13,85";"6,49"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SBZM";"REGIONAL DA ZONA DA MATA(MG, BRASIL)";"31";"3,23";"6,67";"3,33"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SCEL";"COMODORO ARTURO MERINO BENÍTEZ INTERNATIONAL AIRPORT(CHILE)";"310";"4,84";"15,59";"5,08"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SGAS";"SILVIO PETTIROSSI INTERNATIONAL AIRPORT(PARAGUAI)";"81";"0";"24,69";"7,41"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SKBO";"EL DORADO INTERNATIONAL AIRPORT(COLÔMBIA)";"156";"1,92";"18,3";"6,54"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SKRG";"JOSÉ MARÍA CÓRDOVA INTERNATIONAL AIRPORT(COLÔMBIA)";"12";"0";"33,33";"16,67"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SLVR";"VIRU VIRU INTERNATIONAL AIRPORT(BOLÍVIA)";"86";"2,33";"40,48";"28,57"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SPJC";"JORGE CHÁVEZ INTERNATIONAL AIRPORT(PERU)";"124";"0";"12,1";"4,03"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SULS";"C/C CARLOS A. CURBELO DE LAGUNA DEL SAUCE INTERNATIONAL AIRPORT(URUGUAI)";"9";"0";"22,22";"0"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"SUMU";"CARRASCO GRAL. CESÁREO L. BERISSO INTERNATIONAL AIRPORT(URUGUAI)";"106";"0";"13,21";"4,72"
"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"TNCA";"QUEEN BEATRIX INTERNATIONAL AIRPORT(ARUBA)";"6";"0";"0";"0"
"SBGV";"CORONEL ALTINO MACHADO(MG, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"63";"11,11";"14,29";"12,5"
"SBHT";"ALTAMIRA(PA, BRASIL)";"SBBE";"INTERNACIONAL DE BELÉM/VAL DE CANS/JÚLIO CEZAR RIBEIRO(PA, BRASIL)";"31";"0";"3,23";"3,23"
"SBIH";"ITAITUBA(PA, BRASIL)";"SBEG";"EDUARDO GOMES(AM, BRASIL)";"17";"5,88";"12,5";"6,25"
"SBIL";"BAHIA - JORGE AMADO(BA, BRASIL)";"SBCF";"TANCREDO NEVES(MG, BRASIL)";"48";"2,08";"6,38";"0"
"SBIL";"BAHIA - JORGE AMADO(BA, BRASIL)";"SBGR";"GUARULHOS - GOVERNADOR ANDRÉ FRANCO MONTORO(SP, BRASIL)";"100";"2";"9,18";"5,1"
"SBIL";"BAHIA - JORGE AMADO(BA, BRASIL)";"SBKP";"VIRACOPOS(SP, BRASIL)";"42";"2,38";"7,32";"2,44"
"SBIL";"BAHIA - JORGE AMADO(BA, BRASIL)";"SBSP";"CONGONHAS(SP, BRASIL)";"76";"1,32";"14,67";"5,33"
